Latitude,Longitude,Occurrence_Location,Coastal_State_Affected,Weather,Wind_Force,Sea_State,Visibility,Natural_Light,Short_Description,Description,Main_Event_L1,Severity
54.9844,-1.5246,Internal waters -> Port area,UNITED KINGDOM,Overcast,4 - Moderate Breeze - knot (11-16) m/s (6-8),1 - Calm rippled - (0 - 0.1 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Fire onboard vessel during mooring operation,"A small fire occurred in a cabin onboard a supply vessel. The smoke alarm activated and fire extinguished by one member of crew using a CO2 fire extinguisher. The fire alarm was raised with the crew meeting at the muster point onboard The Fire Brigade was called to attend, they confirmed the area safe. There was damage to the thermostat and discolouration to a bulkhead due to the thermostat overheating. There was no pollution or injuries.",Fire / Explosion,3
55.0126,-1.3987,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Twilight,A bulk carrier had an inadequate pilot ladder arrangement.,A bulk carrier had an inadequate pilot ladder arrangement because it was secured using shackles and the retrieval line (tripping line) was secured too low.,Damage / Loss Of Equipment,4
-34.713333,135.87,Internal waters -> Port area,AUSTRALIA,Overcast,4 - Moderate Breeze - knot (11-16) m/s (6-8),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A cruise ship passenger tripped and fell resulting in a fractured elbow,"A cruise ship passenger was entering a toilet when they tripped on a raised threshold. This resulted in them loosing their balance and falling forward hitting both knees and right elbow on the tiled floor. A member of the medical team attended the scene, provided first aid and escorted the passenger to the medical centre for further treatment for a fractured elbow. The area was inspected for defects with none found",Accident to person(s),3
58.9726,5.7276,Internal waters -> Port area,NORWAY,Clear,1 - Light air - knot (1-3) m/s (1-2),0 - Calm glassy - (0 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A cruise ship passenger tripped and fractured their wrist,"A cruise ship passenger stood up and tripped over a leg of a lounger, causing them to fall onto their left side. The passenger was assisted by nearby crew and taken to the medical centre for assessment. They were treated for a fracture to the left wrist which was placed in a cast. The passenger remained onboard.",Accident to person(s),3
55.992367,-4.934433,Internal waters -> Port area,UNITED KINGDOM,Rain,3 - Gentle Breeze - knot (7-10) m/s (4-5),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Night,"A ro-pax ferry crew member tripped over bitts on deck and fell, sustaining a sprained wrist.","A ro-pax vessel crew member tripped over a set of bitts on the deck and fell, sustaining a sprained wrist. The crew member was letting the ropes go from a set of bitts that were mounted on the bulwarks Whilst doing this, they tripped over another set of bitts that were attached to the deck. They were signed off work for a week but returned a few days earlier to partake in light duties. The bitts on the deck are painted black and yellow but the lighting was thought to play a part as well as the crew member concentrating on the unmooring operation and not seeing the bitts.",Accident to person(s),3
55.1257,-1.4982,Internal waters -> Port area,UNITED KINGDOM,Clear,5 - Fresh Breeze - knot (17-21) m/s (9-11),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A search and rescue vessel had a collision with pontoon resulting in minor damage to hull.,A search and rescue vessel collided with a pontoon resulting in minor damage to hull. Whilst undertaking mooring and berthing training the vessel made contact with a bollard attached to the pontoon. This was human error whilst training combined with throttle sensitivity.,Contact,3
51.446,0.743,Internal waters -> Port area,UNITED KINGDOM,Unknown,4 - Moderate Breeze - knot (11-16) m/s (6-8),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Two tugs broke away from where they were moored due to excessive wash from a passing vessel.,"Two tugs were made fast in a rafted fashion, when a vessel passed at excessive speed causing wash that resulted in the two tugs parting their mooring lines and drifting down the river on the ebbing tide. The crews on board the two vessels realised the problem before they got into further difficulty and started their engines and made their way back to the berth. There was no damage other than the parted mooring lines, and no injuries or pollution. ",Loss Of Control,4
49.919333,-6.31575,Internal waters -> Port area,UNITED KINGDOM,Clear,4 - Moderate Breeze - knot (11-16) m/s (6-8),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Passenger vessel near miss with several gigs,Passenger vessel near miss with several gigs.,Collision,5
55.1187,-1.4973,Internal waters -> Port area,UNITED KINGDOM,Clear,3 - Gentle Breeze - knot (7-10) m/s (4-5),2 - Smooth - (0.1 - 0.5 m),Very good - Vis >= 25.0 nm,Daylight,A service vessel experienced a loss of propulsion control and made contact with a moored fishing vessel,"The service vessel entered the harbour, whilst manoeuvring the vessel split controls to perform a turn. The starboard propeller didn’t respond to the command. The master attempted to counteract the action by putting both engines ahead increasing engine RPM but the starboard propeller remained heading astern. The service vessel made contact with a moored fishing vessel. No injuries to crew or passengers and no reported pollution.",Loss Of Control,3
51.4422,0.7696,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Unknown,Container ship's pilot ladder did not conform to SOLAS regulations.,"Container ship's pilot ladder did not conform to SOLAS regulations. Shackles used as primary securing with adequately sized ropes as secondary but tied off to a vent pipe- see photographs. Discussed with the Captain, Chief Officer and Bosun, receptive and assured will be rectified on departure.",Damage / Loss Of Equipment,5
