Sample_ID,Severity,Sample_Type,Short_Description,Description
ORIG_0,3,Original,Fire onboard vessel during mooring operation,"A small fire occurred in a cabin onboard a supply vessel. The smoke alarm activated and fire extinguished by one member of crew using a CO2 fire extinguisher. The fire alarm was raised with the crew meeting at the muster point onboard The Fire Brigade was called to attend, they confirmed the area safe. There was damage to the thermostat and discolouration to a bulkhead due to the thermostat overheating. There was no pollution or injuries."
ORIG_1,4,Original,A bulk carrier had an inadequate pilot ladder arrangement.,A bulk carrier had an inadequate pilot ladder arrangement because it was secured using shackles and the retrieval line (tripping line) was secured too low.
ORIG_2,3,Original,A cruise ship passenger tripped and fell resulting in a fractured elbow,"A cruise ship passenger was entering a toilet when they tripped on a raised threshold. This resulted in them loosing their balance and falling forward hitting both knees and right elbow on the tiled floor. A member of the medical team attended the scene, provided first aid and escorted the passenger to the medical centre for further treatment for a fractured elbow. The area was inspected for defects with none found"
ORIG_3,3,Original,A cruise ship passenger tripped and fractured their wrist,"A cruise ship passenger stood up and tripped over a leg of a lounger, causing them to fall onto their left side. The passenger was assisted by nearby crew and taken to the medical centre for assessment. They were treated for a fracture to the left wrist which was placed in a cast. The passenger remained onboard."
ORIG_4,3,Original,"A ro-pax ferry crew member tripped over bitts on deck and fell, sustaining a sprained wrist.","A ro-pax vessel crew member tripped over a set of bitts on the deck and fell, sustaining a sprained wrist. The crew member was letting the ropes go from a set of bitts that were mounted on the bulwarks Whilst doing this, they tripped over another set of bitts that were attached to the deck. They were signed off work for a week but returned a few days earlier to partake in light duties. The bitts on the deck are painted black and yellow but the lighting was thought to play a part as well as the crew member concentrating on the unmooring operation and not seeing the bitts."
ORIG_5,3,Original,A search and rescue vessel had a collision with pontoon resulting in minor damage to hull.,A search and rescue vessel collided with a pontoon resulting in minor damage to hull. Whilst undertaking mooring and berthing training the vessel made contact with a bollard attached to the pontoon. This was human error whilst training combined with throttle sensitivity.
ORIG_6,4,Original,Two tugs broke away from where they were moored due to excessive wash from a passing vessel.,"Two tugs were made fast in a rafted fashion, when a vessel passed at excessive speed causing wash that resulted in the two tugs parting their mooring lines and drifting down the river on the ebbing tide. The crews on board the two vessels realised the problem before they got into further difficulty and started their engines and made their way back to the berth. There was no damage other than the parted mooring lines, and no injuries or pollution. "
ORIG_7,5,Original,Passenger vessel near miss with several gigs,Passenger vessel near miss with several gigs.
ORIG_8,3,Original,A service vessel experienced a loss of propulsion control and made contact with a moored fishing vessel,"The service vessel entered the harbour, whilst manoeuvring the vessel split controls to perform a turn. The starboard propeller didn’t respond to the command. The master attempted to counteract the action by putting both engines ahead increasing engine RPM but the starboard propeller remained heading astern. The service vessel made contact with a moored fishing vessel. No injuries to crew or passengers and no reported pollution."
ORIG_9,5,Original,Container ship's pilot ladder did not conform to SOLAS regulations.,"Container ship's pilot ladder did not conform to SOLAS regulations. Shackles used as primary securing with adequately sized ropes as secondary but tied off to a vent pipe- see photographs. Discussed with the Captain, Chief Officer and Bosun, receptive and assured will be rectified on departure."
